id,address,categories,primaryCategories,city,country,keys,latitude,longitude,menuPageURL,menus.amountMax,menus.amountMin,menus.description,menus.name,name,postalCode,priceRangeMin,priceRangeMax,province,Median_Price
AVz3Y-7h3D1zeR_xDAqm,4203 E Kiehl Ave,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",Accommodation & Food Services,Sherwood,US,us/ar/sherwood/4203ekiehlave/-1051391616,34.8323,-92.1838,http://www.citysearch.com/profile/menu/1550074?singlePlatformId=shotgun-dans-pizza,7.98,7.98,,Cheese Pizza,Shotgun Dans Pizza,72120,0,25,AR,7.98
AVweGPFF_7pvs4fzAAzQ,25 E Camelback Rd,"Pizza,Pizza Place,Restaurants",Accommodation & Food Services,Phoenix,US,us/az/phoenix/25ecamelbackrd/-727422936,33.509266,-112.073044,,6.0,6.0,,Pizza Cookie,Sauce Pizza Wine,85012,0,25,AZ,6.0
AVwdRGa9_7pvs4fz4E3K,3703 Paxton Ave,"Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Cincinnati,US,us/oh/cincinnati/3703paxtonave/-619797122,39.144883,-84.432685,http://www.citysearch.com/profile/menu/8160503?singlePlatformId=mios-pizzeria-4,6.49,6.49,a saucelessampcomma double cheese pizza with a garlic accentampcomma served with tomatoes on a sesame seed crust,Pizza Blanca,Mios Pizzeria,45209,0,25,OH,6.49
AVwdX4psIN2L1WUfvJB1,30495 John R Rd,"Pizza,Carry-out food,Pizza Place,Restaurants",Accommodation & Food Services,Madison Heights,US,us/mi/madisonheights/30495johnrrd/-874863116,42.516669,-83.10663,,5.99,5.99,,Small Pizza,Hungry Howies Pizza,48071,25,40,MI,5.99
AVwdaeTtkufWRAb55pSH,3600 Eastern Ave,"Pizza,American restaurants,Pizza Place,Pizza equipment and supplies,Restaurants",Accommodation & Food Services,Baltimore,US,us/md/baltimore/3600easternave/-1270965359,39.28663,-76.566984,,5.49,5.49,,Pizza Sub,Spartan Pizzeria,21224,0,25,MD,8.24
AVwckQhv_7pvs4fzwhpf,1834 Euclid Ave,Pizza Place,Accommodation & Food Services,Berkeley,US,us/ca/berkeley/1834euclidave/-1109825433,37.875496,-122.260345,,4.99,4.99,,Two Topping Pizza,La Vals,94709,0,25,CA,5.1899999999999995
AVwcvnln_7pvs4fzyfqZ,4819 Kerry Forest Pkwy,Pizza Place,Accommodation & Food Services,Tallahassee,US,us/fl/tallahassee/4819kerryforestpkwy/879863405,30.537097,-84.215156,,2.5,2.5,,Pizza,Brickyard Pizza,32309,0,25,FL,7.245
AVwchRVZkufWRAb5wDIV,4061 28th St SE,"Restaurant,Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Grand Rapids,US,us/mi/grandrapids/406128thstse/-255474861,42.912878,-85.566939,,7.43,7.43,,Kids Cheese Pizza,Carrabbas Italian Grill,49512,25,40,MI,11.675
AVwc7s1wIN2L1WUfqehD,146 N Glendora Ave,"Pizza,Restaurant,Pizza Place",Accommodation & Food Services,Glendora,US,us/ca/glendora/146nglendoraave/-1511428239,34.137502,-117.865331,http://www.singlepage.com/domenicos-jr,22.0,22.0,,Three Cheese Pizza,Domenicos Jr,91741,0,25,CA,11.5
AVwc2xOokufWRAb5zu4_,965 N Resler Dr,"Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,El Paso,US,us/tx/elpaso/965nreslerdr/1770159848,31.862409,-106.558431,http://www.citysearch.com/profile/menu/43189550?singlePlatformId=little-caesars-pizza-1507,5.0,5.0,pepperoni or cheese original round no limit carry out plus tax,HotNReady Large Pizza,Little Caesars Pizza,79912,0,25,TX,5.0
AVwcr0iskufWRAb5x6lr,8111 Rowlock Way,"Pizza,Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Raleigh,US,us/nc/raleigh/8111rowlockway/1763694843,35.884857,-78.737707,,11.99,11.99,,"15"" Plain Cheese Pizza",Tonys Pizza,27613,0,25,NC,11.99
AVwdfIbIByjofQCxplnX,4111 Main St,"Pizza,American restaurants,Pizza Place,Restaurants",Accommodation & Food Services,Philadelphia,US,us/pa/philadelphia/4111mainst/-404553877,40.022413,-75.218579,,4.5,4.5,,Pizza Fries,Mikes Pizza,19127,0,25,PA,4.5
AVwedtwTIN2L1WUf5Kjd,4024 Canal St,Pizza Place,Accommodation & Food Services,New Orleans,US,us/la/neworleans/4024canalst/1763771589,29.974032,-90.100317,,12.25,12.25,,Bacon & Blue Cheese Pizza,Theos Neighborhood Pizza,70119,25,40,LA,12.25
AVwdixeC_7pvs4fz67Pw,1584 N Woodland Blvd,"Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,DeLand,US,us/fl/deland/1584nwoodlandblvd/-874863116,29.046703,-81.303817,http://www.citysearch.com/profile/menu/2349150?singlePlatformId=hungry-howies-pizza-129,4.89,4.89,pizza sauce pepperoni and mozzarella cheese,Pizza Sub,Hungry Howies Pizza,32720,0,25,FL,5.995
AVwdK3hX_7pvs4fz2-s0,1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",Accommodation & Food Services,New York,US,us/ny/newyork/1477yorkave/960433863,40.770825,-73.95102,,11.75,11.75,Round white pie topped with fresh mozzarella ricotta and Parmesan cheese,12ampquot White Pizza,Salvos Pizzabar,10075,25,40,NY,13.125
AVwcjjQ4kufWRAb5weHv,9600 San Jose Blvd,"Restaurant,Pizza Place",Accommodation & Food Services,Jacksonville,US,us/fl/jacksonville/9600sanjoseblvd/1770159848,30.204576,-81.785252,,7.99,7.99,carry out plus taxes,Large 3 Topping Pizza,Little Caesars Pizza,32257,0,25,FL,7.99
AVweO2A2IN2L1WUf3IVT,45490 Ford Rd,"Indian Restaurant,Pizza Place",Accommodation & Food Services,Canton,US,us/mi/canton/45490fordrd/-1610211871,42.322403,-83.488782,,7.99,7.99,,Methi Mutter Malai Pizza,Curry on Crust,48187,0,25,MI,7.99
AVwcsjkFIN2L1WUfn4dB,1253 Jacklin Rd,"Pizza,Restaurant,Karaoke,Pizza Place,Restaurants",Accommodation & Food Services,Milpitas,US,us/ca/milpitas/1253jacklinrd/-66718653,37.4478,-121.8878,,9.2,9.2,,Cheese Pizza,Pizza Box,95035,0,25,CA,9.2
AVwd3vBcIN2L1WUfz8Kd,786 Main St,"Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Poughkeepsie,US,us/ny/poughkeepsie/786mainst/1898246848,41.696049,-73.901679,,4.99,4.99,Pepperoni sausage mozzarella meatballs and bacon,All Meat Stuffed Pizza Slice,Tonys Pizza Pit,12603,0,25,NY,14.989999999999998
AVwcoEiNIN2L1WUfnF36,2221 Browning Dr,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Arlington,US,us/tx/arlington/2221browningdr/1023837469,32.707464,-97.085036,,6.95,6.95,,Cheese Pizza,Italy Pizza Pasta Subs,76010,25,40,TX,6.95
AVweM6RuIN2L1WUf24PG,150 N Pantano Rd,Pizza Place,Accommodation & Food Services,Tucson,US,us/az/tucson/150npantanord/-874863116,32.223015,-110.822913,,8.99,8.99,"Mozzarella cheese, Pizza sauce and your choice of 3 toppings.",Pizza Sub Deluxe,Hungry Howies Pizza,85710,25,40,AZ,8.99
AWESAELwa4HuVbedMwTP,1250 Gen. Washington Blvd.,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Washington Crossing,US,us/pa/washingtoncrossing/1250gen.washingtonblvd./-1256009802,40.292365,-74.872428,,17.0,17.0,,Nick's Specialty Pizza,Dominicks Pizzeria Italian Restaurant,18977,0,25,PA,19.0
AVwdUCT-_7pvs4fz4j3w,3860 N Long Lake Rd,Pizza Place,Accommodation & Food Services,Traverse City,US,us/mi/traversecity/3860nlonglakerd/206725212,44.757113,-85.652529,,10.49,10.49,,Sauce and Cheese Pizza,Thats a Pizza,49684,0,25,MI,7.67
AV1h2sbCa4HuVbed7cM1,1612 Franklin St,"Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Michigan City,US,us/in/michigancity/1612franklinst/-900142234,41.707275,-86.896541,http://www.citysearch.com/profile/menu/3995988?singlePlatformId=albanos-villa,12.05,12.05,taco meat covered with cheese tomatoes and topped with shredded lettuce,Taco Pizza,Albanos Villa,46360,0,25,IN,6.9
AVzBAZ_fLD2H7whiWJVU,1237 Greeley Ave,"American Restaurant,Pizza Place",Accommodation & Food Services,Warminster,US,us/pa/warminster/1237greeleyave/-1002138912,40.213458,-75.070133,,12.99,12.99,,Gluten Free Tomato Pie Or Cheese Pizza,Tonys Place Bar and Grille,18974,25,40,PA,9.25
AVwcu-Fk_7pvs4fzyYOQ,121 E Seneca St,"Pizza,Pizza Place,Restaurants",Accommodation & Food Services,Sherrill,US,us/ny/sherrill/121esenecast/118894484,43.076696,-75.597597,http://www.citysearch.com/profile/menu/7687514?singlePlatformId=sherrill-new-york-pizzeria,1.5,1.5,"Pepperoni, sausage or ham",Pizza Rolls,Sherrill New York Pizzeria,13461,0,25,NY,1.5
AVwdE0JU_7pvs4fz2AYn,1321 E Colorado St,Pizza Place,Accommodation & Food Services,Glendale,US,us/ca/glendale/1321ecoloradost/-66718652,34.142767,-118.236607,,12.0,12.0,,Supreme Pizza,Pizza Boy,91205,0,25,CA,12.0
AVweELF0ByjofQCxu91y,550 Grant St,"Pizza,Restaurant,Pizza Place",Accommodation & Food Services,Denver,US,us/co/denver/550grantst/273941150,39.725069,-104.983255,,19.99,19.99,,Plain Pizza 24'',Cosmos Pizza,80203,0,25,CO,15.989999999999998
AVwdzigvIN2L1WUfzXzz,22 Newbridge Rd,"Pizza,Restaurant,Italian Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Hicksville,US,us/ny/hicksville/22newbridgerd/-419087985,40.767099,-73.527878,,1.75,1.75,,Pizza Slice,Piazza Pizza,11801,0,25,NY,1.75
AVwd95bD_7pvs4fz-2aw,3348 Genesee St,Pizza Place,Accommodation & Food Services,Buffalo,US,us/ny/buffalo/3348geneseest/1670701308,42.925755,-78.761238,,22.49,22.49,Sheet,Cheese Pizza,Macys Place Pizzeria,14225,0,25,NY,16.99
AVwdumb4_7pvs4fz8t54,8110 W Union Hills Dr,"Pizza,Restaurant,Fast Food,Pizza Place",Accommodation & Food Services,Glendale,US,us/az/glendale/8110wunionhillsdr/-2031720203,33.65357,-112.233595,,16.99,16.99,,White Seafood Pizza,Arizona Pizza Company,85308,0,25,AZ,10.639999999999999
AVwczgYSkufWRAb5zNBx,90 S Main St,"Pizza,Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Johnstown,US,us/oh/johnstown/90smainst/-2068272560,40.152074,-82.68329,,5.75,5.75,,Pizza Sub,Pizzaburg,43031,0,30,OH,5.75
AVwdCZyb_7pvs4fz1mSG,2345 E Centennial Pkwy,"Restaurant,Pizza Place",Accommodation & Food Services,North Las Vegas,US,us/nv/northlasvegas/2345ecentennialpkwy/236494560,36.274975,-115.11845,,11.99,11.99,,Cheese Pizza,DeLucias Pizzeria,89081,0,25,NV,16.49
AV1teilCRxPSIh2RbNhZ,1260 Texas Ave Ste H,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",Accommodation & Food Services,Alexandria,US,us/la/alexandria/1260texasavesteh/-617173647,31.288586,-92.47294,,5.0,5.0,,Kids Cheese Pizza,Wildwood Pizza,71301,0,25,LA,5.0
AVwdPnuP_7pvs4fz3zoB,8977 N Scottsdale Rd,"Pizza Place,Pizza Place Resort Corridor",Accommodation & Food Services,Paradise Valley,US,us/az/paradisevalley/8977nscottsdalerd/3446753,33.566876,-111.925361,,15.95,15.95,,Pizza Chef,Pomo,85253,25,40,AZ,15.95
AVweUktQByjofQCxxMCG,1608 W Friendly Ave,"Restaurant,Pizza Place Brice Street Area,Pizza Place",Accommodation & Food Services,Greensboro,US,us/nc/greensboro/1608wfriendlyave/-874863116,36.075201,-79.814066,,6.99,6.99,Loaded with extra cheeseampcomma pepperoni ampamp sauce,Pizza Sub,Hungry Howies Pizza,27403,25,40,NC,8.49
AVwcvcBy_7pvs4fzyddm,8381 Market St,Pizza Place,Accommodation & Food Services,Youngstown,US,us/oh/youngstown/8381marketst/-697115922,40.996343,-80.66232,,8.99,8.99,,Make Any Pizza a Supreme with 5 Toppings,Bruno Bros Pizza,44512,0,25,OH,8.99
AVwclh80ByjofQCxf7tx,9135 W Sam Houston Pkwy N,Pizza Place,Accommodation & Food Services,Houston,US,us/tx/houston/9135wsamhoustonpkwyn/1124576637,29.904366,-95.554944,,3.99,3.99,,Kid's Pizza,Milanos Pizzeria Italian Grill,77064,0,25,TX,3.99
AVweZbc9ByjofQCxx1kF,4001 John Knox Dr,"Pizza Place,Restaurants",Accommodation & Food Services,Abilene,US,us/tx/abilene/4001johnknoxdr/1045531984,32.403556,-99.767292,,4.99,4.99,,Chocolate Chip Pizza,DoubleDaves PizzaWorks,79606,0,25,TX,4.99
AVwdDZzcByjofQCxlBKL,3414 W Union Hills Dr,"Pizza,Italian restaurants,Pizza Place,Restaurants",Accommodation & Food Services,Phoenix,US,us/az/phoenix/3414wunionhillsdr/775330975,33.65465,-112.13275,,5.5,5.5,,Meatball Pizza Roll,Ray's Pizza,85027,0,25,AZ,5.5
AVwd4yfD_7pvs4fz-JKy,2300 Muscatine Ave,"Restaurant,Pizza Place",Accommodation & Food Services,Iowa City,US,us/ia/iowacity/2300muscatineave/1112396794,41.649871,-91.501576,,13.0,13.0,Red sauce Mozzarella Mushrooms Green Peppers Mixed Onions Black Olives and Roma Tomatoes With Cheddar Mozzarella blend on top,Garden Vegetarian Pizza Baking Required,Papa Murphys,52240,0,25,IA,13.0
AVwdtJCD_7pvs4fz8g3-,5474 Central Florida Pkwy,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Orlando,US,us/fl/orlando/5474centralfloridapkwy/-1133935011,28.407027,-81.45003,,9.99,9.99,,Build You Own Pizza,Famas Ristorante,32821,25,40,FL,9.99
AVwckJ-gkufWRAb5wlE8,9705 Mintworth Ave,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Charlotte,US,us/nc/charlotte/9705mintworthave/1502696362,35.172024,-80.708379,,14.95,14.95,"Veal scaloppine sauteed in olive oil with fresh mushrooms, capers, olives and marinara sauce.",Vitello Alla Pizzaiola,Angelas Italian Restaurant,28227,0,25,NC,13.95
AVwcz6KlByjofQCxicXH,4914 30th Ave,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Woodside,US,us/ny/woodside/491430thave/1207600366,40.760309,-73.907433,,21.99,21.99,,Stuffed Spinach Pizza,Mama Carmelas Pizza,11377,25,40,NY,17.99
AVweaRbG_7pvs4fzCuk4,346 S Santa Fe Ave,"Restaurant,Pizza Place",Accommodation & Food Services,Edmond,US,us/ok/edmond/346ssantafeave/-649029277,35.651611,-97.512964,,20.99,20.99,,Large Specialty Calzone and Large Specialty Pizza,Stars Stripes Pizza,73003,0,25,OK,18.99
AV5Poksna4HuVbedB_Ia,181 E Broadway,"Restaurant,Pizza Place",Accommodation & Food Services,New York,US,us/ny/newyork/181ebroadway/-267048290,40.714197,-73.989389,,16.0,16.0,,Sicilian Pizza,East Broadway Pizza,10002,0,25,NY,15.0
AVzA2PtuLD2H7whiWF8-,607 Merrick Rd,Pizza Place,Accommodation & Food Services,Rockville Centre,US,us/ny/rockvillecentre/607merrickrd/1345236744,40.654078,-73.630974,,16.25,16.25,,Regular 2 Topping Pizza,Bonbinos Pizzeria,11570,0,25,NY,18.25
AVzA1Vq_LD2H7whiWFMp,154 Church Steet,Pizza Place,Accommodation & Food Services,New York,US,us/ny/newyork/154churchsteet/831411592,40.71499,-74.00785,,2.5,2.5,,Cheese Pizza Slices,Dona Bella Pizza,10007,0,25,NY,9.25
AVzX8tJF3D1zeR_xBpwF,471 Pinetown Rd,Pizza Place,Accommodation & Food Services,Fort Washington,US,us/pa/fortwashington/471pinetownrd/124117769,40.138935,-75.195355,,6.99,6.99,,White Pizza,Lucianis Brick Oven Pizzeria,19034,0,25,PA,5.79
AVwdxVzvkufWRAb59G2Q,285 E Alessandro Blvd,"Pizza,Italian Restaurant,Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Riverside,US,us/ca/riverside/285ealessandroblvd/-108989273,33.915287,-117.328837,,21.95,14.45,,Bbq Chicken Pizza,Romanos Chicago Pizzeria,92508,0,25,CA,21.95
AVwdA_5x_7pvs4fz1XsP,16948 E Shea Blvd,"Restaurant,Pizza Place",Accommodation & Food Services,Fountain Hills,US,us/az/fountainhills/16948esheablvd/891476236,33.574011,-111.713952,,2.5,2.5,,Pepperoni Pizza Pinwheel,Redendos Pizzeria,85268,0,25,AZ,2.5
AWEHynBaIxWefVJwwZfg,140-142 Las Tunas Dr,Pizza Place,Accommodation & Food Services,Arcadia,US,us/ca/arcadia/140-142lastunasdr/-1491126522,34.107567,-118.036182,,3.75,3.75,,Pizza Dough Sticks,Alex DiPeppes,91007,0,25,CA,3.75
AVweEGB3kufWRAb5_r4w,1090 Montgomery Rd,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Altamonte Springs,US,us/fl/altamontesprings/1090montgomeryrd/1114087253,28.686584,-81.403849,,9.5,9.5,,Spinach On Pizza Bianca,Papa Joes,32714,0,25,FL,7.0
AVwejfkbIN2L1WUf6CVf,1330 Park St,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",Accommodation & Food Services,Alameda,US,us/ca/alameda/1330parkst/216108754,37.763389,-122.243626,,20.0,20.0,Pesto sauce pesto chicken and spinach,Good Boy Pizza Gluten Free,Bowzers Pizza,94501,0,25,CA,20.0
AVwdmw5ckufWRAb57ikr,321 W San Francisco St,"Pizza,Pizza Place,Restaurants",Accommodation & Food Services,Santa Fe,US,us/nm/santafe/321wsanfranciscost/-1144095555,35.688306,-105.942629,http://www.yellowpages.com/santa-fe-nm/mip/il-vicino-4578386/menu,6.25,6.25,,Pizza Margherita,Il Vicino,87501,0,25,NM,6.25
AVwc_FJmkufWRAb51GkW,1540 Johnston St,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",Accommodation & Food Services,Lafayette,US,us/la/lafayette/1540johnstonst/977489551,30.213724,-92.02302,,5.99,5.99,,Cheese Pizza,Bisbano's Pizza Parlor,70503,0,25,LA,7.99
AVwdJ0iWIN2L1WUfswH0,329 Massachusetts Ave,"Pizza,Pizza Place,Restaurants",Accommodation & Food Services,Indianapolis,US,us/in/indianapolis/329massachusettsave/-1925256222,39.77139687,-86.15371764,,11.95,11.95,"Romano, cheddar, ricotta, mozzarella, provolone, bacon and mushroom.",Pizza Alla Quattro Formaggio,Bazbeaux Pizza,46204,25,40,IN,11.95
AVzA86ss-gnIPe8DSebH,4698 S Whitnall Ave,"Restaurant,Pizza Place",Accommodation & Food Services,Saint Francis,US,us/wi/saintfrancis/4698swhitnallave/1112396794,42.960947,-87.879166,,4.0,4.0,Chocolate chips mini marshmallows and crisp topping,S39mores Pizza,Papa Murphys,53235,0,25,WI,4.0
AVwdXfmMIN2L1WUfvEuH,829 N Douglas St,"Restaurant,Pizza Place",Accommodation & Food Services,El Segundo,US,us/ca/elsegundo/829ndouglasst/-695527346,33.927667,-118.383589,,7.99,7.99,classic cheese,Cheese Pizza,zpizza,90245,25,40,CA,7.99
AVwdOuumByjofQCxm4xE,133 Browns Way Rd,"Pizza,Restaurant,Pizza Place Midlothian,Pizza Place,Restaurants,Italian Restaurants",Accommodation & Food Services,Midlothian,US,us/va/midlothian/133brownswayrd/89276803,37.501901,-77.638267,http://www.citysearch.com/profile/menu/44129236?singlePlatformId=a-new-york-slice,13.5,13.5,,Vegetarian Pizza,A New York Slice,23114,0,25,VA,13.0
AWEXWit5IxWefVJwxsOY,1210 8th St,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Alamosa,US,us/co/alamosa/12108thst/-1348304718,37.46426,-105.874387,,9.99,9.99,,"14"" Large Cheese Pizza",SLV Pizza Company,81101,25,40,CO,9.99
AVwdygg6kufWRAb59RSK,1185 Spring Centre South Blvd,Pizza Place,Accommodation & Food Services,Altamonte Springs,US,us/fl/altamontesprings/1185springcentresouthblvd/1149600230,28.687632,-81.392252,,15.49,15.49,,White Pizza,Specialty Pizza Express,32714,0,25,FL,15.49
AVwdkogvIN2L1WUfxIul,1124 W Elizabeth St,"Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Fort Collins,US,us/co/fortcollins/1124welizabethst/880833374,40.575048,-105.097184,,8.99,8.99,Cherry pie filling topped with strudel and icingampcomma baked on our medium pizza dough Feeds 24 people,Cherry Dessert Pizza,Krazy Karls Pizza,80521,0,25,CO,8.99
AVwcptwJIN2L1WUfnYma,5211 5th Ave,"Cheesesteaks,Pizza,Restaurant,Italian,Pizza Place",Accommodation & Food Services,Brooklyn,US,us/ny/brooklyn/52115thave/173603987,40.6437,-74.01174,http://www.menupages.com/restaurants/royal-kings-pizza/menu,8.25,8.25,,Pizza Burger Deluxe,Royal Kings Pizza,11220,0,25,NY,8.25
AVwd-Tr2_7pvs4fz-6Sd,30130 23 Mile Rd,"Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,New Baltimore,US,us/mi/newbaltimore/3013023milerd/-874863116,42.674001,-82.805755,http://www.citysearch.com/profile/menu/601458683?singlePlatformId=hungry-howies-pizza-288,6.99,6.99,Cheeseampcomma pizza sauce ampamp your choice of any three toppings,Pizza Sub Deluxe,Hungry Howies Pizza,48047,25,40,MI,6.99
AVzBBC1w3D1zeR_xBEbJ,1710 Centennial Blvd,"Restaurant,Pizza Place",Accommodation & Food Services,Springfield,US,us/or/springfield/1710centennialblvd/214389033,44.056504,-122.999237,,15.49,15.49,Cheesy Alfredo sauce dressed simply with garlic chicken and mozzarella,Small Amore Pollo Alfredo with Just Chicken GlutenFree Pizza,Coburg Pizza Company,97477,0,25,OR,16.04
